Participant.ID,Timestamp,Center,Left,Right,Answer,Response.Time..s.,Alg.Label,origTime,origAlg.Label
1106,2001-01-01 00:00:00.000028,i0296,i0240,i0396,i0240,7697,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000029,i0042,i0168,i0592,i0168,4017,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000030,i0326,i0098,i0022,i0098,5994,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000031,i0104,i0284,i0410,i0284,4952,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000032,i0226,i0590,i0596,i0590,9030,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000033,i0304,i0452,i0052,i0452,4230,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000034,i0262,i0492,i0068,i0492,2220,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000035,i0190,i0006,i0402,i0006,2278,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000036,i0090,i0260,i0546,i0260,3407,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000037,i0194,i0090,i0290,i0090,7584,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000038,i0370,i0346,i0188,i0346,2550,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000039,i0474,i0510,i0454,i0510,21065,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000040,i0542,i0380,i0070,i0380,12645,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000041,i0466,i0198,i0046,i0198,3051,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000042,i0404,i0532,i0148,i0532,6509,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000043,i0338,i0414,i0098,i0414,6027,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000044,i0268,i0174,i0416,i0174,9612,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000045,i0014,i0058,i0430,i0058,5546,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000046,i0554,i0580,i0032,i0580,8174,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000047,i0228,i0168,i0502,i0168,2567,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000048,i0496,i0564,i0432,i0564,13208,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000049,i0390,i0106,i0408,i0106,6636,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000050,i0172,i0304,i0320,i0304,30214,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000051,i0218,i0376,i0552,i0376,3965,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000052,i0334,i0348,i0410,i0348,8921,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000053,i0268,i0234,i0426,i0234,5436,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000054,i0394,i0262,i0194,i0262,7552,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000055,i0416,i0324,i0308,i0324,2231,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000056,i0024,i0008,i0172,i0008,2627,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000057,i0362,i0526,i0580,i0526,4402,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000058,i0548,i0528,i0204,i0528,2766,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000059,i0508,i0354,i0236,i0354,6988,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000060,i0268,i0426,i0234,i0426,4286,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000061,i0368,i0410,i0538,i0410,3671,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000062,i0108,i0116,i0250,i0116,10982,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000063,i0032,i0184,i0304,i0184,6960,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000064,i0384,i0440,i0254,i0440,3184,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000065,i0368,i0552,i0564,i0552,1877,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000066,i0294,i0432,i0024,i0432,5691,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000067,i0490,i0594,i0114,i0594,2678,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000068,i0578,i0520,i0440,i0520,4122,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000069,i0038,i0044,i0056,i0044,10815,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000070,i0100,i0272,i0394,i0272,3366,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000071,i0404,i0592,i0234,i0592,3187,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000072,i0242,i0210,i0230,i0210,6203,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000073,i0260,i0270,i0450,i0270,5807,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000074,i0190,i0402,i0006,i0402,3393,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000075,i0440,i0346,i0576,i0346,6061,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000076,i0388,i0242,i0004,i0242,4200,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000077,i0078,i0104,i0568,i0104,8671,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000078,i0352,i0094,i0110,i0094,15062,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000079,i0214,i0524,i0480,i0524,10576,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000080,i0486,i0472,i0432,i0472,3030,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000081,i0280,i0080,i0084,i0080,5103,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000082,i0460,i0492,i0064,i0492,9857,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000083,i0016,i0324,i0438,i0324,8605,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000084,i0068,i0110,i0194,i0110,5544,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000085,i0538,i0394,i0328,i0394,14478,Train,42:11.0,Random
1108,2001-01-01 00:00:00.000086,i0502,i0422,i0342,i0422,13627,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000087,i0044,i0210,i0466,i0210,2227,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000088,i0504,i0464,i0396,i0464,2750,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000089,i0102,i0134,i0064,i0134,4015,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000090,i0560,i0446,i0220,i0446,2065,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000091,i0324,i0246,i0108,i0246,9291,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000092,i0134,i0320,i0336,i0320,1983,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000093,i0086,i0338,i0342,i0338,1988,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000094,i0478,i0456,i0366,i0456,2709,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000095,i0394,i0124,i0002,i0124,2008,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000096,i0552,i0412,i0316,i0412,2506,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000097,i0062,i0196,i0426,i0196,2762,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000098,i0480,i0322,i0082,i0322,2525,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000099,i0096,i0064,i0550,i0064,6140,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000100,i0344,i0534,i0190,i0534,2372,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000101,i0210,i0264,i0150,i0264,3356,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000102,i0590,i0592,i0062,i0592,2488,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000103,i0548,i0514,i0182,i0514,3086,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000104,i0096,i0344,i0412,i0344,2766,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000105,i0112,i0554,i0432,i0554,6547,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000106,i0252,i0546,i0404,i0546,3497,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000107,i0406,i0566,i0274,i0566,2788,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000108,i0552,i0362,i0160,i0362,2265,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000109,i0312,i0578,i0132,i0578,3189,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000110,i0478,i0574,i0118,i0574,1861,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000111,i0488,i0470,i0036,i0470,2083,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000112,i0342,i0506,i0010,i0506,2063,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000113,i0116,i0092,i0002,i0092,2982,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000114,i0052,i0084,i0042,i0084,4996,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000115,i0170,i0352,i0530,i0352,3130,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000116,i0040,i0078,i0328,i0078,1921,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000117,i0080,i0164,i0572,i0164,2472,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000118,i0026,i0178,i0446,i0178,2188,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000119,i0496,i0488,i0212,i0488,2250,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000120,i0304,i0246,i0094,i0246,3121,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000121,i0010,i0580,i0538,i0580,2440,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000122,i0450,i0574,i0566,i0574,2488,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000123,i0354,i0248,i0218,i0248,3827,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000124,i0386,i0578,i0462,i0578,3672,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000125,i0212,i0546,i0050,i0546,2766,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000126,i0538,i0412,i0364,i0412,7329,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000127,i0236,i0330,i0500,i0330,2259,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000128,i0156,i0082,i0128,i0082,2902,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000129,i0398,i0328,i0294,i0328,3737,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000130,i0528,i0128,i0080,i0128,3772,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000131,i0060,i0390,i0436,i0390,4399,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000132,i0106,i0172,i0512,i0172,1642,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000133,i0156,i0054,i0352,i0054,2109,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000134,i0574,i0550,i0350,i0550,3093,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000135,i0346,i0394,i0086,i0394,2542,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000136,i0182,i0216,i0364,i0216,2183,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000137,i0548,i0546,i0268,i0546,6375,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000138,i0302,i0328,i0020,i0328,3707,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000139,i0424,i0446,i0114,i0446,2002,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000140,i0012,i0284,i0332,i0284,3104,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000141,i0384,i0244,i0016,i0244,2532,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000142,i0590,i0478,i0138,i0478,5046,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000143,i0296,i0258,i0162,i0258,68021,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000144,i0450,i0556,i0380,i0556,2403,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000145,i0042,i0140,i0100,i0140,3714,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000146,i0442,i0250,i0182,i0250,105623,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000147,i0362,i0578,i0172,i0578,5006,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000148,i0248,i0154,i0310,i0154,4149,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000149,i0356,i0290,i0326,i0290,3414,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000150,i0264,i0364,i0068,i0364,2960,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000151,i0192,i0256,i0478,i0256,4493,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000152,i0188,i0120,i0520,i0120,2243,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000153,i0136,i0340,i0408,i0340,3174,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000154,i0484,i0308,i0358,i0308,3198,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000155,i0322,i0200,i0548,i0200,1597,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000156,i0230,i0192,i0046,i0192,3034,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000157,i0344,i0412,i0394,i0412,2649,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000158,i0470,i0240,i0100,i0240,1971,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000159,i0094,i0206,i0164,i0206,3001,Test,42:53.0,Test
1108,2001-01-01 00:00:00.000160,i0352,i0336,i0008,i0336,2375,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000161,i0300,i0002,i0552,i0002,2539,Train,42:53.0,Uncertainty
1108,2001-01-01 00:00:00.000162,i0424,i0490,i0106,i0490,5602,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000163,i0400,i0514,i0132,i0514,5376,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000164,i0526,i0370,i0258,i0370,2289,Train,42:53.0,Random
1108,2001-01-01 00:00:00.000165,i0468,i0320,i0248,i0320,2825,Test,42:53.0,Test
1109,2001-01-01 00:00:00.000166,i0042,i0198,i0476,i0198,2523,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000167,i0342,i0260,i0014,i0260,3462,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000168,i0320,i0348,i0436,i0348,3917,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000169,i0590,i0452,i0310,i0452,2916,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000170,i0548,i0532,i0166,i0532,5402,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000171,i0470,i0192,i0078,i0192,3809,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000172,i0560,i0518,i0364,i0518,2632,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000173,i0066,i0068,i0446,i0068,6395,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000174,i0324,i0342,i0110,i0342,2826,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000175,i0312,i0450,i0514,i0450,8843,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000176,i0598,i0260,i0074,i0260,4511,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000177,i0500,i0592,i0012,i0592,6779,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000178,i0234,i0466,i0404,i0466,5161,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000179,i0034,i0250,i0464,i0250,2831,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000180,i0250,i0080,i0532,i0080,3414,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000181,i0404,i0172,i0030,i0172,4470,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000182,i0314,i0086,i0062,i0086,6008,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000183,i0466,i0520,i0144,i0520,9708,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000184,i0262,i0268,i0418,i0268,2558,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000185,i0168,i0162,i0574,i0162,2998,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000186,i0450,i0540,i0506,i0540,5092,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000187,i0478,i0256,i0046,i0256,5456,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000188,i0536,i0392,i0396,i0392,4736,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000189,i0262,i0268,i0150,i0268,8154,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000190,i0046,i0478,i0566,i0478,4308,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000191,i0216,i0072,i0106,i0072,12632,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000192,i0270,i0184,i0114,i0184,6114,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000193,i0498,i0588,i0142,i0588,2218,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000194,i0300,i0332,i0472,i0332,2846,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000195,i0082,i0090,i0262,i0090,39793,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000196,i0106,i0030,i0354,i0030,3768,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000197,i0260,i0124,i0398,i0124,3628,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000198,i0496,i0370,i0280,i0370,5915,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000199,i0542,i0156,i0130,i0156,3882,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000200,i0544,i0278,i0214,i0278,3773,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000201,i0042,i0208,i0392,i0208,3079,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000202,i0018,i0342,i0380,i0342,4054,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000203,i0260,i0194,i0328,i0194,11460,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000204,i0446,i0418,i0046,i0418,2716,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000205,i0390,i0362,i0590,i0362,3526,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000206,i0138,i0020,i0442,i0020,4109,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000207,i0568,i0576,i0016,i0576,3573,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000208,i0004,i0130,i0304,i0130,6640,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000209,i0544,i0374,i0166,i0374,5516,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000210,i0058,i0148,i0138,i0148,2679,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000211,i0372,i0170,i0100,i0170,11597,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000212,i0386,i0046,i0030,i0046,6466,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000213,i0064,i0378,i0442,i0378,12439,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000214,i0326,i0452,i0494,i0452,9305,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000215,i0598,i0226,i0210,i0226,2754,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000216,i0410,i0484,i0142,i0484,3632,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000217,i0192,i0244,i0040,i0244,4868,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000218,i0484,i0308,i0100,i0308,2454,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000219,i0048,i0296,i0592,i0296,6763,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000220,i0336,i0552,i0538,i0552,7394,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000221,i0382,i0384,i0234,i0384,4264,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000222,i0258,i0228,i0268,i0228,7990,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000223,i0550,i0080,i0040,i0080,7574,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000224,i0028,i0172,i0574,i0172,3765,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000225,i0240,i0160,i0128,i0160,8325,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000226,i0258,i0252,i0070,i0252,3970,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000227,i0268,i0370,i0386,i0370,10040,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000228,i0300,i0510,i0008,i0510,6743,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000229,i0250,i0412,i0278,i0412,5434,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000230,i0304,i0526,i0104,i0526,12866,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000231,i0108,i0100,i0150,i0100,7108,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000232,i0356,i0404,i0510,i0404,3279,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000233,i0574,i0584,i0056,i0584,5664,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000234,i0506,i0536,i0440,i0536,9046,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000235,i0062,i0096,i0194,i0096,2766,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000236,i0018,i0176,i0498,i0176,6060,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000237,i0460,i0426,i0130,i0426,2665,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000238,i0518,i0254,i0032,i0254,5702,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000239,i0432,i0578,i0332,i0578,4512,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000240,i0514,i0422,i0434,i0422,5276,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000241,i0448,i0174,i0214,i0174,5182,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000242,i0530,i0566,i0176,i0566,3899,Test,45:06.0,Test
1109,2001-01-01 00:00:00.000243,i0028,i0384,i0542,i0384,3933,Train,45:06.0,Uncertainty
1109,2001-01-01 00:00:00.000244,i0428,i0374,i0112,i0374,2449,Train,45:06.0,Random
1109,2001-01-01 00:00:00.000245,i0390,i0158,i0242,i0158,5378,Train,45:06.0,Random
1112,2001-01-01 00:00:00.000246,i0392,i0442,i0474,i0442,4537,Train,47:48.0,Random
1112,2001-01-01 00:00:00.000247,i0340,i0560,i0198,i0560,4113,Test,47:48.0,Test
1112,2001-01-01 00:00:00.000248,i0350,i0334,i0194,i0334,2706,Train,47:48.0,Random
1112,2001-01-01 00:00:00.000249,i0034,i0078,i0388,i0078,10664,Train,47:48.0,Uncertainty
1127,2001-01-01 00:00:00.000250,i0438,i0530,i0156,i0530,2775,Train,36:43.0,Random
1127,2001-01-01 00:00:00.000251,i0302,i0050,i0094,i0050,8094,Train,36:43.0,Random
1127,2001-01-01 00:00:00.000252,i0466,i0302,i0094,i0302,5741,Test,36:43.0,Test
1127,2001-01-01 00:00:00.000253,i0120,i0310,i0340,i0310,3338,Test,36:43.0,Test
1127,2001-01-01 00:00:00.000254,i0198,i0176,i0406,i0176,3005,Train,36:43.0,Random
1127,2001-01-01 00:00:00.000255,i0474,i0076,i0078,i0076,5099,Train,36:43.0,Uncertainty
1127,2001-01-01 00:00:00.000256,i0006,i0020,i0116,i0020,3075,Train,36:43.0,Uncertainty
1127,2001-01-01 00:00:00.000257,i0346,i0484,i0522,i0484,7671,Train,36:43.0,Random
1127,2001-01-01 00:00:00.000258,i0430,i0510,i0092,i0510,3967,Test,36:43.0,Test
1127,2001-01-01 00:00:00.000259,i0272,i0238,i0556,i0238,4914,Train,36:43.0,Random
1127,2001-01-01 00:00:00.000260,i0518,i0180,i0086,i0180,2579,Test,36:43.0,Test
1127,2001-01-01 00:00:00.000261,i0164,i0130,i0514,i0130,3132,Test,36:43.0,Test
1127,2001-01-01 00:00:00.000262,i0378,i0380,i0072,i0380,2772,Test,36:43.0,Test
1127,2001-01-01 00:00:00.000263,i0172,i0218,i0070,i0218,4600,Train,36:43.0,Uncertainty
1127,2001-01-01 00:00:00.000264,i0106,i0014,i0390,i0014,2769,Train,36:43.0,Uncertainty
1127,2001-01-01 00:00:00.000265,i0448,i0568,i0204,i0568,4996,Train,36:43.0,Uncertainty
1127,2001-01-01 00:00:00.000266,i0364,i0404,i0044,i0404,1290,Train,36:43.0,Random
1127,2001-01-01 00:00:00.000267,i0496,i0366,i0026,i0366,2954,Test,36:43.0,Test
1127,2001-01-01 00:00:00.000268,i0410,i0358,i0012,i0358,2733,Test,36:43.0,Test
1127,2001-01-01 00:00:00.000269,i0376,i0166,i0112,i0166,3078,Test,36:43.0,Test
