Item,x,y
11F_NE_C,-0.850020518,0.345811972
11F_NE_O,-0.726117784,-0.019447366
11F_SA_C,0.432542984,0.490269102
11F_SA_O,0.835574525,-0.026006627
11F_SP_O,0.635449338,-0.545609524
12F_AN_C,0.26497636,0.637029274
12F_AN_O,1.096612521,-0.456853683
12F_CA_C,-0.601619531,0.783893251
12F_CA_O,-0.612742063,0.111500008
12F_DI_C,0.584653247,0.661014645
12F_DI_O,0.6934048,-0.374491066
12F_FE_C,0.407706245,0.064473304
12F_FE_O,0.378957001,-0.15914985
12F_HA_C,-0.41358263,-0.495207548
12F_HA_O,-0.499865424,-0.857969602
12F_HA_X,-0.260634718,-1.020749276
12F_NE_C,0.095505132,0.573774425
12F_NE_O,-0.490181739,0.773594924
12F_SA_C,0.706716188,0.589606044
12F_SA_O,0.437494338,0.526201803
12F_SP_O,0.219372822,-0.624360788
13F_AN_C,0.187230261,0.476523208
13F_AN_O,1.24862411,-0.163009934
13F_CA_C,-0.524016665,0.765613391
13F_CA_O,0.118472041,0.171465475
13F_DI_C,0.964216723,0.543705027
13F_DI_O,0.915027249,-0.358090529
13F_FE_C,0.446721066,-0.007556462
13F_FE_O,0.984874796,-0.398100906
13F_HA_C,-0.534296192,-0.547130664
13F_HA_O,-0.566904199,-1.205155835
13F_HA_X,-0.202613807,-1.232330119
13F_NE_C,-0.343573803,0.436837425
13F_NE_O,-0.206278425,0.686875781
13F_SA_C,0.547324197,0.712564902
13F_SA_O,0.739058091,-0.030465826
13F_SP_O,0.875445907,-0.813000928
20M_AN_C,-0.04001749,0.74904167
20M_AN_O,1.020384065,0.358411457
20M_CA_C,-0.469684548,0.869142888
20M_CA_O,-0.422976172,0.524040427
20M_DI_O,0.571093824,0.450828104
20M_FE_C,0.592110412,0.487852868
20M_FE_O,0.261306206,0.780416812
20M_HA_C,-0.587542434,-0.322494027
20M_HA_O,-0.89147963,-0.245617917
20M_HA_X,0.230834538,-1.266912357
20M_NE_C,-0.225752131,0.772120136
20M_NE_O,-0.263880609,0.513407055
20M_SA_C,0.667455391,0.708323882
20M_SA_O,0.345586959,0.341943454
20M_SP_O,0.284946635,-1.034768565
21M_AN_C,-0.011577616,0.4308163
21M_AN_O,0.863243751,-0.177498634
21M_CA_C,-0.397346053,0.250337517
21M_CA_O,-0.560291809,0.398891743
21M_DI_C,0.249594116,0.54129061
21M_DI_O,0.735306973,-0.077631411
21M_FE_C,-0.044419404,0.496989863
21M_FE_O,0.545185014,-0.116158971
21M_HA_C,-1.102518098,-0.405165949
21M_HA_O,-0.673052861,-0.602830267
21M_HA_X,-0.309717259,-0.724351611
21M_NE_C,-0.512274782,0.178829926
21M_NE_O,-0.622932702,0.417675834
21M_SA_C,0.501080876,0.636319867
21M_SA_O,0.36986897,-0.277500062
21M_SP_O,0.373537256,-1.064380583
25M_AN_C,0.610309151,0.509128685
25M_AN_O,0.698538881,-0.02762717
25M_CA_C,-0.580859622,0.206108669
25M_CA_O,-0.59301519,0.485269252
25M_DI_C,0.572429967,0.28031797
25M_DI_O,0.599284501,0.037316172
25M_FE_O,0.6504049,-0.040687127
25M_HA_C,-0.635543391,-0.477120399
25M_HA_O,-0.531468413,-0.329361908
25M_HA_X,-0.706908606,-0.817016764
25M_NE_C,-0.343606073,0.497570579
25M_SA_C,0.404102353,0.524756271
25M_SA_O,0.767843891,0.428734688
25M_SP_O,0.358527313,-0.415961643
39M_AN_C,0.444997666,0.343398247
39M_AN_O,0.895545273,-0.64956616
39M_CA_C,-0.4400626,0.714298974
39M_CA_O,-0.673831405,0.295221479
39M_DI_C,0.702147039,0.333477512
39M_DI_O,0.649064838,-0.33598728
39M_FE_C,0.267754022,0.415405466
39M_FE_O,0.616935379,-0.164221358
39M_HA_C,-0.395784792,0.685635035
39M_HA_O,-0.448768184,-1.025509811
39M_HA_X,-0.282825327,-1.17192392
39M_NE_C,-0.459098595,0.337210027
39M_NE_O,-0.339426914,0.491078226
39M_SA_C,0.01932352,0.627816291
39M_SA_O,0.137128079,-0.183767026
39M_SP_O,0.428386821,-0.516045732
40M_AN_C,0.944271239,0.5772439
40M_AN_O,1.047288127,-0.401400545
40M_CA_C,-0.448832189,0.267060764
40M_CA_O,0.001579275,-0.562179875
40M_DI_C,0.646819359,0.580427859
40M_DI_O,1.147484296,-0.817210481
40M_FE_C,0.328892204,0.271105958
40M_FE_O,0.867308281,-0.221317032
40M_HA_C,-0.843686261,-0.088120632
40M_HA_O,-0.224230457,-1.097335924
40M_HA_X,-0.129794499,-1.382540912
40M_NE_C,-0.541163359,0.29299309
40M_NE_O,-0.543937854,0.089904427
40M_SA_C,-0.058770139,0.55992368
40M_SA_O,0.721294101,0.023898822
40M_SP_O,0.590292576,-0.56631628
43M_AN_C,0.632266618,-0.000952791
43M_AN_O,0.625687296,-0.604700657
43M_CA_C,-0.63700992,0.374898082
43M_CA_O,-0.77250817,0.100662548
43M_DI_C,0.634475172,0.862253859
43M_DI_O,0.937109112,-0.246960974
43M_FE_C,0.71455283,0.564515574
43M_FE_O,0.741418636,-0.002319093
43M_HA_C,-0.450036471,-0.095220948
43M_HA_O,-0.369837593,-0.845535606
43M_HA_X,-0.301973677,-0.826013506
43M_NE_C,-0.735289359,0.187988629
43M_NE_O,-0.446307814,-0.368639314
43M_SA_C,0.348829429,0.289026899
43M_SA_O,0.255632212,0.511658375
43M_SP_O,0.739167635,-0.148315102
